BLE_fischart;species_code;german_name;species_name;species_namesc;target_assemblage_code;grouped_species;target_assemblage
CCT;CCT;NA;Sand tiger shark;Carcharias taurus;LPF;not defined;Large pelagic fish
SKH;SKH;NA;Various sharks nei;Selachimorpha (Pleurotremata);DEF;not defined;Demersal fish
SYP;SYP;NA;Yellowspotted catshark;Scyliorhinus capensis;DEF;not defined;Demersal fish
TRB;TRB;NA;Whitetip reef shark;Triaenodon obesus;DEF;not defined;Demersal fish
APV;APV;NA;Broadnose catshark;Apristurus investigatoris;DEF;not defined;Demersal fish
ASE;ASE;NA;Panama ghost catshark;Apristurus stenseni;DEF;not defined;Demersal fish
GAU;GAU;NA;Crest-tail catsharks nei;Galeus spp;DEF;not defined;Demersal fish
TIG;TIG;NA;Tiger shark;Galeocerdo cuvier;LPF;not defined;Large pelagic fish
CEE;CEE;NA;Mosaic gulper shark;Centrophorus tessellatus;DEF;not defined;Demersal fish
MAK;MAK;NA;Mako sharks;Isurus spp;DEF;not defined;Demersal fish
RSK;RSK;NA;Requiem sharks nei;Carcharhinidae;DEF;not defined;Demersal fish
ATY;ATY;NA;Coral catshark;Atelomycterus marmoratus;DEF;not defined;Demersal fish
GAA;GAA;NA;Roughtail catshark;Galeus arae;DEF;not defined;Demersal fish
RHZ;RHZ;NA;Sharpnose sharks nei;Rhizoprionodon spp;DEF;not defined;Demersal fish
SOR;SOR;NA;Little sleeper shark;Somniosus rostratus;DEF;not defined;Demersal fish
TRK;TRK;NA;Houndsharks, smoothhounds nei;Triakidae;DEF;not defined;Demersal fish
ETF;ETF;NA;Blackbelly lanternshark;Etmopterus lucifer;DEF;not defined;Demersal fish
GHA;GHA;NA;Atlantic sawtail catshark;Galeus atlanticus;DEF;not defined;Demersal fish
HXT;HXT;NA;Sharpnose sevengill shark;Heptranchias perlo;DEF;not defined;Demersal fish
SHX;SHX;NA;Dogfish sharks, etc. nei;Squaliformes;DEF;not defined;Demersal fish
CIO;CIO;NA;Daggernose shark;Isogomphodon oxyrhynchus;DEF;not defined;Demersal fish
CCO;CCO;NA;Finetooth shark;Carcharhinus isodon;DEF;not defined;Demersal fish
BLR;BLR;NA;Blacktip reef shark;Carcharhinus melanopterus;DEF;not defined;Demersal fish
SUN;SUN;NA;Ocellated angelshark;Squatina tergocellatoides;DEF;not defined;Demersal fish
SYE;SYE;NA;West African catshark;Scyliorhinus cervigoni;DEF;not defined;Demersal fish
SHO;SHO;NA;Blackmouth catshark;Galeus melastomus;DEF;not defined;Demersal fish
CCB;CCB;NA;Spinner shark;Carcharhinus brevipinna;LPF;not defined;Large pelagic fish
SBL;SBL;NA;Bluntnose sixgill shark;Hexanchus griseus;DEF;not defined;Demersal fish
SON;SON;NA;Pacific sleeper shark;Somniosus pacificus;DEF;not defined;Demersal fish
CPC;CPC;NA;Lollipop catshark;Cephalurus cephalus;DEF;not defined;Demersal fish
CLL;CLL;NA;Barbeled houndshark;Leptocharias smithii;DEF;not defined;Demersal fish
CWO;CWO;NA;Gulper sharks nei;Centrophorus spp;DEF;not defined;Demersal fish
CWZ;CWZ;NA;Carcharhinus sharks nei;Carcharhinus spp;DEF;not defined;Demersal fish
GAE;GAE;NA;Gecko catshark;Galeus eastmani;DEF;not defined;Demersal fish
GAM;GAM;NA;Mouse catshark;Galeus murinus;DEF;not defined;Demersal fish
SHY;SHY;NA;Redspotted catshark;Schroederichthys chilensis;DEF;not defined;Demersal fish
OXY;OXY;NA;Angular roughshark;Oxynotus centrina;DEF;not defined;Demersal fish
PAE;PAE;NA;McMillan's cat shark;Parmaturus macmillani;DEF;not defined;Demersal fish
SLA;SLA;NA;Spadenose shark;Scoliodon laticaudus;DEF;not defined;Demersal fish
SHL;SHL;NA;Lanternsharks nei;Etmopterus spp;DEF;not defined;Demersal fish
CLD;CLD;NA;Sliteye shark;Loxodon macrorhinus;DEF;not defined;Demersal fish
BRO;BRO;NA;Copper shark;Carcharhinus brachyurus;DEF;not defined;Demersal fish
CCP;CCP;NA;Sandbar shark;Carcharhinus plumbeus;DEF;not defined;Demersal fish
FAL;FAL;NA;Silky shark;Carcharhinus falciformis;LPF;not defined;Large pelagic fish
HAY;HAY;NA;Lined catshark;Halaelurus lineatus;DEF;not defined;Demersal fish
AML;AML;NA;Grey reef shark;Carcharhinus amblyrhynchos;DEF;not defined;Demersal fish
GAN;GAN;NA;Broadfin sawtail catshark;Galeus nipponensis;DEF;not defined;Demersal fish
SHB;SHB;NA;Bramble shark;Echinorhinus brucus;DEF;not defined;Demersal fish
HEA;HEA;NA;Whitespotted bullhead shark;Heterodontus ramalheira;DEF;not defined;Demersal fish
WSH;WSH;NA;Great white shark;Carcharodon carcharias;LPF;not defined;Large pelagic fish
ISB;ISB;NA;Cookie cutter shark;Isistius brasiliensis;DEF;not defined;Demersal fish
SPN;SPN;NA;Hammerhead sharks nei;Sphyrna spp;DEF;not defined;Demersal fish
APX;APX;NA;Smalleye catshark;Apristurus microps;DEF;not defined;Demersal fish
ASK;ASK;NA;Angelsharks, sand devils nei;Squatinidae;DEF;not defined;Demersal fish
GNC;GNC;NA;Nurse shark;Ginglymostoma cirratum;DEF;not defined;Demersal fish
GNG;GNG;NA;Nurse sharks nei;Ginglymostoma spp;DEF;not defined;Demersal fish
THR;THR;NA;Thresher sharks nei;Alopias spp;LPF;not defined;Large pelagic fish
RHX;RHX;NA;Grey sharpnose shark;Rhizoprionodon oligolinx;DEF;not defined;Demersal fish
ALS;ALS;NA;Silvertip shark;Carcharhinus albimarginatus;DEF;not defined;Demersal fish
SUA;SUA;NA;Sawback angelshark;Squatina aculeata;DEF;not defined;Demersal fish
CSZ;CSZ;NA;Longnose catshark;Apristurus kampae;DEF;not defined;Demersal fish
CCE;CCE;NA;Bull shark;Carcharhinus leucas;LPF;not defined;Large pelagic fish
POE;POE;NA;Barbeled catshark;Poroderma marleyi;DEF;not defined;Demersal fish
GAI;GAI;NA;Blacktip sawtail catshark;Galeus sauteri;DEF;not defined;Demersal fish
RHA;RHA;NA;Milk shark;Rhizoprionodon acutus;DEF;not defined;Demersal fish
CPL;CPL;NA;Lowfin gulper shark;Centrophorus lusitanicus;DEF;not defined;Demersal fish
BSK;BSK;NA;Basking shark;Cetorhinus maximus;DEF;not defined;Demersal fish
CPU;CPU;NA;Little gulper shark;Centrophorus uyato;DEF;not defined;Demersal fish
CCG;CCG;NA;Galapagos shark;Carcharhinus galapagensis;DEF;not defined;Demersal fish
APQ;APQ;NA;Iceland catshark;Apristurus laurussonii;DEF;not defined;Demersal fish
CSQ;CSQ;NA;Hoary catshark;Apristurus canutus;DEF;not defined;Demersal fish
SUC;SUC;NA;Pacific angelshark;Squatina californica;DEF;not defined;Demersal fish
ETP;ETP;NA;Smooth lanternshark;Etmopterus pusillus;DEF;not defined;Demersal fish
HPE;HPE;NA;Puffadder shyshark;Haploblepharus edwardsii;DEF;not defined;Demersal fish
RHT;RHT;NA;Atlantic sharpnose shark;Rhizoprionodon terraenovae;DEF;not defined;Demersal fish
PEU;PEU;NA;Onefin catshark;Pentanchus profundicolus;DEF;not defined;Demersal fish
SUE;SUE;NA;Ornate angelshark;Squatina tergocellata;DEF;not defined;Demersal fish
GAH;GAH;NA;Dwarf sawtail catshark;Galeus schultzi;DEF;not defined;Demersal fish
LES;LES;NA;Leopard shark;Triakis semifasciata;LPF;not defined;Large pelagic fish
GAP;GAP;NA;Peppered catshark;Galeus piperatus;DEF;not defined;Demersal fish
POU;POU;NA;Striped catshark;Poroderma africanum;DEF;not defined;Demersal fish
OXZ;OXZ;NA;Japanese roughshark;Oxynotus japonicus;DEF;not defined;Demersal fish
SYA;SYA;NA;Boa catshark;Scyliorhinus boa;DEF;not defined;Demersal fish
CTU;CTU;NA;Gummy shark;Mustelus antarcticus;DEF;not defined;Demersal fish
HOR;HOR;NA;Izak catshark;Holohalaelurus regani;DEF;not defined;Demersal fish
CSV;CSV;NA;Broadgill catshark;Apristurus riveri;DEF;not defined;Demersal fish
SYB;SYB;NA;Polkadot catshark;Scyliorhinus besnardi;DEF;not defined;Demersal fish
CPA;CPA;NA;Indian swellshark;Cephaloscyllium silasi;DEF;not defined;Demersal fish
PEA;PEA;NA;Pygmy ribbontail catshark;Eridacnis radcliffei;DEF;not defined;Demersal fish
SYZ;SYZ;NA;Cloudy catshark;Scyliorhinus torazame;DEF;not defined;Demersal fish
CEU;CEU;NA;Dumb gulper shark;Centrophorus harrissoni;DEF;not defined;Demersal fish
NTC;NTC;NA;Broadnose sevengill shark;Notorynchus cepedianus;DEF;not defined;Demersal fish
SUT;SUT;NA;Smoothback angelshark;Squatina oculata;DEF;not defined;Demersal fish
ETZ;ETZ;NA;Fringfin lanternshark;Etmopterus schultzi;DEF;not defined;Demersal fish
SHN;SHN;NA;Slender catshark;Schroederichthys tenuis;DEF;not defined;Demersal fish
CCC;CCC;NA;Nervous shark;Carcharhinus cautus;DEF;not defined;Demersal fish
THL;THL;NA;Whitefin topeshark;Hemitriakis leucoperiptera;DEF;not defined;Demersal fish
ETR;ETR;NA;Great lanternshark;Etmopterus princeps;DEF;not defined;Demersal fish
PED;PED;NA;African ribbontail catshark;Eridacnis sinuans;DEF;not defined;Demersal fish
RHR;RHR;NA;Caribbean sharpnose shark;Rhizoprionodon porosus;DEF;not defined;Demersal fish
POH;POH;NA;Leopard catshark;Poroderma pantherinum;DEF;not defined;Demersal fish
CPT;CPT;NA;Australian swellshark;Cephaloscyllium laticeps;DEF;not defined;Demersal fish
GAQ;GAQ;NA;African sawtail catshark;Galeus polli;DEF;not defined;Demersal fish
QUL;QUL;NA;Spined pygmy shark;Squaliolus laticaudus;DEF;not defined;Demersal fish
SHU;SHU;NA;Narrowtail catshark;Schroederichthys maculatus;DEF;not defined;Demersal fish
ETT;ETT;NA;African lanternshark;Etmopterus polli;DEF;not defined;Demersal fish
PPH;PPH;NA;Bahamas sawshark;Pristiophorus schroederi;DEF;not defined;Demersal fish
API;API;NA;Deep-water catsharks;Apristurus spp;DEF;not defined;Demersal fish
GSK;GSK;NA;Greenland shark;Somniosus microcephalus;DEF;not defined;Demersal fish
CVX;CVX;NA;Ground sharks;Carcharhiniformes;DEF;not defined;Demersal fish
HLT;HLT;NA;Tuberculate abalone;Haliotis tuberculata;MOL;not defined;Molluscs
ABJ;ABJ;NA;Japanese abalone;Haliotis discus;MOL;not defined;Molluscs
ABG;ABG;NA;Giant abalone;Haliotis gigantea;MOL;not defined;Molluscs
ABX;ABX;NA;Abalones nei;Haliotis spp;MOL;not defined;Molluscs
SNE;SNE;NA;False abalone;Concholepas concholepas;MOL;not defined;Molluscs
ABF;ABF;NA;Red abalone;Haliotis rufescens;MOL;not defined;Molluscs
LQQ;LQQ;NA;Planate abalone;Haliotis planata;MOL;not defined;Molluscs
RAC;RAC;NA;Cape razor clam;Solen capensis;MOL;not defined;Molluscs
CLT;CLT;NA;Stimpson's surf clam;Spisula polynyma;MOL;not defined;Molluscs
GLX;GLX;NA;Common galatea clam;Galatea paradoxa;MOL;not defined;Molluscs
DON;DON;NA;Donax clams;Donax spp;MOL;not defined;Molluscs
SOI;SOI;NA;Razor clams, knife clams nei;Solenidae;MOL;not defined;Molluscs
RAE;RAE;NA;European razor clam;Solen marginatus;MOL;not defined;Molluscs
ULO;ULO;NA;Solid surf clam;Spisula solida;MOL;not defined;Molluscs
UTN;UTN;NA;Nuttall's mahogany clam;Nuttallia nuttallii;MOL;not defined;Molluscs
MUN;MUN;NA;Taquilla clams;Mulinia spp;MOL;not defined;Molluscs
CLB;CLB;NA;Atlantic surf clam;Spisula solidissima;MOL;not defined;Molluscs
RAP;RAP;NA;Pacific razor clam;Siliqua patula;MOL;not defined;Molluscs
BCL;BCL;NA;Butter clam;Saxidomus giganteus;MOL;not defined;Molluscs
TDG;TDG;NA;Giant clam;Tridacna gigas;MOL;not defined;Molluscs
MAT;MAT;NA;Mactra surf clams nei;Mactridae;MOL;not defined;Molluscs
CLR;CLR;NA;Atl.jackknife(=Atl.razor clam);Ensis directus;MOL;not defined;Molluscs
SSD;SSD;NA;Surf clams nei;Spisula spp;MOL;not defined;Molluscs
CLH;CLH;NA;Northern quahog(=Hard clam);Mercenaria mercenaria;MOL;not defined;Molluscs
CMM;CMM;NA;Manila clam;Corbicula manilensis;MOL;not defined;Molluscs
DOR;DOR;NA;Dosinia clam;Dosinia orbignyi;MOL;not defined;Molluscs
CLM;CLM;NA;Macha clam;Mesodesma donacium;MOL;not defined;Molluscs
ULT;ULT;NA;Subtruncate surf clam;Spisula subtruncata;MOL;not defined;Molluscs
DJC;DJC;NA;Corneous wedge clam;Donacilla cornea;MOL;not defined;Molluscs
HCL;HCL;NA;Imperial surf clam;Pseudocardium sybillae;MOL;not defined;Molluscs
MTV;MTV;NA;Globose clam;Mactra veneriformis;MOL;not defined;Molluscs
MXL;MXL;NA;Lyrate hard clam;Meretrix lyrata;MOL;not defined;Molluscs
TDS;TDS;NA;Fluted giant clam;Tridacna squamosa;MOL;not defined;Molluscs
HCJ;HCJ;NA;Japanese hard clam;Meretrix lusoria;MOL;not defined;Molluscs
ELV;ELV;NA;Truncate lantern clam;Laternula truncata;MOL;not defined;Molluscs
AQW;AQW;NA;Concealed surf clam;Mactra velata;MOL;not defined;Molluscs
GIF;GIF;NA;Faeroe sunset clam;Gari fervensis;MOL;not defined;Molluscs
ULV;ULV;NA;Oval surf clam;Spisula ovalis;MOL;not defined;Molluscs
COC;COC;NA;Common edible cockle;Cerastoderma edule;MOL;not defined;Molluscs
BLC;BLC;NA;Blood cockle;Anadara granosa;MOL;not defined;Molluscs
KTG;KTG;NA;Olive green cockle;Cerastoderma glaucum;MOL;not defined;Molluscs
TQR;TQR;NA;Pacific yellow cockle;Trachycardium rugosum;MOL;not defined;Molluscs
AKJ;AKJ;NA;European prickly cockle;Acanthocardia echinata;MOL;not defined;Molluscs
AKK;AKK;NA;Spiny cockle;Acanthocardia aculeata;MOL;not defined;Molluscs
KTT;KTT;NA;Tuberculate cockle;Acanthocardia tuberculata;MOL;not defined;Molluscs
KTU;KTU;NA;Poorly ribbed cockle;Acanthocardia paucicostata;MOL;not defined;Molluscs
LVC;LVC;NA;Norwegian egg cockle;Laevicardium crassum;MOL;not defined;Molluscs
FGR;FGR;NA;White strawberry cockle;Fragum fragum;MOL;not defined;Molluscs
CTL;CTL;NA;Cuttlefish, bobtail squids nei;Sepiidae, Sepiolidae;CEP;Cephalopods;Cephalopods
EJB;EJB;NA;African cuttlefish;Sepia bertheloti;CEP;not defined;Cephalopods
EJE;EJE;NA;Elegant cuttlefish;Sepia elegans;CEP;not defined;Cephalopods
IAH;IAH;NA;Pharaoh cuttlefish;Sepia pharaonis;CEP;not defined;Cephalopods
EJH;EJH;NA;Hooded cuttlefish;Sepia prashadi;CEP;not defined;Cephalopods
IAR;IAR;NA;Pink cuttlefish;Sepia orbignyana;CEP;not defined;Cephalopods
IAX;IAX;NA;Cuttlefishes nei;Sepia spp;CEP;not defined;Cephalopods
EIP;EIP;NA;Giant Australian cuttlefish;Sepia apama;CEP;not defined;Cephalopods
IAN;IAN;NA;Trident cuttlefish;Sepia trygonina;CEP;not defined;Cephalopods
EJA;EJA;NA;Needle cuttlefish;Sepia aculeata;CEP;not defined;Cephalopods
WSU;WSU;NA;Grooved cuttlefish;Sepia sulcata;CEP;not defined;Cephalopods
IEX;IEX;NA;Sepiella cuttlefishes nei;Sepiella spp;CEP;not defined;Cephalopods
WRW;WRW;NA;Web?s cuttlefish;Sepiella weberi;CEP;not defined;Cephalopods
IAA;IAA;NA;Oman cuttlefish;Sepia omani;CEP;not defined;Cephalopods
IAL;IAL;NA;Longarm cuttlefish;Sepia longipes;CEP;not defined;Cephalopods
IAZ;IAZ;NA;Flamboyant cuttlefish;Metasepia pfefferi;CEP;not defined;Cephalopods
EIQ;EIQ;NA;Kobi cuttlefish;Sepia kobiensis;CEP;not defined;Cephalopods
CVT;CVT;NA;Giant African cuttlefish;Sepia hierredda;CEP;not defined;Cephalopods
EJD;EJD;NA;Madokai's cuttlefish;Sepia madokai;CEP;not defined;Cephalopods
IAE;IAE;NA;Curvespine cuttlefish;Sepia recurvirostra;CEP;not defined;Cephalopods
EJG;EJG;NA;Slender cuttlefish;Sepia braggi;CEP;not defined;Cephalopods
WTB;WTB;NA;Bartlett's cuttlefish;Sepia bartletti;CEP;not defined;Cephalopods
BSB;BSB;NA;Black seabass;Centropristis striata;DEF;not defined;Demersal fish
BSE;BSE;NA;Seabasses nei;Dicentrarchus spp;DEF;not defined;Demersal fish
BSX;BSX;NA;Groupers, seabasses nei;Serranidae;DEF;not defined;Demersal fish
SPU;SPU;NA;Spotted seabass;Dicentrarchus punctatus;DEF;not defined;Demersal fish
BAP;BAP;NA;Peruvian rock seabass;Paralabrax humeralis;DEF;not defined;Demersal fish
HWB;HWB;NA;Pelagic basslet;Howella brodiei;DEF;not defined;Demersal fish
BSA;BSA;NA;Atlantic seabasses;Morone spp;DEF;not defined;Demersal fish
HNE;HNE;NA;Streamer bass;Hemanthias aureorubens;DEF;not defined;Demersal fish
DED;DED;NA;Leather bass;Dermatolepis dermatolepis;DEF;not defined;Demersal fish
BAJ;BAJ;NA;Japanese seabass;Lateolabrax japonicus;DEF;not defined;Demersal fish
RLP;RLP;NA;Pygmy sea bass;Serraniculus pumilio;DEF;not defined;Demersal fish
BSZ;BSZ;NA;Argentine seabass;Acanthistius brasilianus;DEF;not defined;Demersal fish
SBA;SBA;NA;Axillary seabream;Pagellus acarne;DEF;not defined;Demersal fish
SBG;SBG;NA;Gilthead seabream;Sparus aurata;DEF;not defined;Demersal fish
SWA;SWA;NA;White seabream;Diplodus sargus;DEF;not defined;Demersal fish
BSC;BSC;NA;Bluespotted seabream;Pagrus caeruleostictus;DEF;not defined;Demersal fish
CTB;CTB;NA;Common two-banded seabream;Diplodus vulgaris;DEF;not defined;Demersal fish
RSX;RSX;NA;Daggerhead breams nei;Chrysoblephus spp;DEF;not defined;Demersal fish
SBX;SBX;NA;Porgies, seabreams nei;Sparidae;DEF;not defined;Demersal fish
SHR;SHR;NA;Sharpsnout seabream;Diplodus puntazzo;DEF;not defined;Demersal fish
SRG;SRG;NA;Sargo breams nei;Diplodus spp;DEF;not defined;Demersal fish
REA;REA;NA;Redbanded seabream;Pagrus auriga;DEF;not defined;Demersal fish
RSN;RSN;NA;Red stumpnose seabream;Chrysoblephus gibbiceps;DEF;not defined;Demersal fish
SBS;SBS;NA;Saddled seabream;Oblada melanura;DEF;not defined;Demersal fish
SBZ;SBZ;NA;Zebra seabream;Diplodus cervinus;DEF;not defined;Demersal fish
AAB;AAB;NA;Twobar seabream;Acanthopagrus bifasciatus;DEF;not defined;Demersal fish
AVB;AVB;NA;Western Atlantic seabream;Archosargus rhomboidalis;DEF;not defined;Demersal fish
DAR;DAR;NA;Daggerhead seabream;Chrysoblephus cristiceps;DEF;not defined;Demersal fish
PLY;PLY;NA;Polystegan seabreams nei;Polysteganus spp;DEF;not defined;Demersal fish
SBW;SBW;NA;West coast seabream;Lithognathus aureti;DEF;not defined;Demersal fish
ANN;ANN;NA;Annular seabream;Diplodus annularis;DEF;not defined;Demersal fish
GMR;GMR;NA;Grey large-eye bream;Gymnocranius griseus;DEF;not defined;Demersal fish
SBP;SBP;NA;Pargo breams nei;Pagrus spp;DEF;not defined;Demersal fish
MOB;MOB;NA;Monocle breams;Scolopsis spp;DEF;not defined;Demersal fish
KBR;KBR;NA;King soldier bream;Argyrops spinifer;DEF;not defined;Demersal fish
REV;REV;NA;Japanese seabream;Pagrus major;DEF;not defined;Demersal fish
RSS;RSS;NA;Goldlined seabream;Rhabdosargus sarba;DEF;not defined;Demersal fish
SBU;SBU;NA;Blueskin seabream;Polysteganus coeruleopunctatus;DEF;not defined;Demersal fish
MLB;MLB;NA;Goldsilk seabream;Acanthopagrus berda;DEF;not defined;Demersal fish
SLL;SLL;NA;Slinger seabream;Chrysoblephus puniceus;DEF;not defined;Demersal fish
SCM;SCM;NA;Scotsman seabream;Polysteganus praeorbitalis;DEF;not defined;Demersal fish
ROM;ROM;NA;Roman seabream;Chrysoblephus laticeps;DEF;not defined;Demersal fish
DIH;DIH;NA;Spottail seabream;Diplodus holbrooki;DEF;not defined;Demersal fish
NNF;NNF;NA;Doublewhip threadfin bream;Nemipterus nematophorus;DEF;not defined;Demersal fish
NPS;NPS;NA;Smooth dwarf monocle bream;Parascolopsis aspinosa;DEF;not defined;Demersal fish
SEV;SEV;NA;Seventyfour seabream;Polysteganus undulosus;DEF;not defined;Demersal fish
BRZ;BRZ;NA;Pomfrets, ocean breams nei;Bramidae;DEF;non-target demersal fish;Demersal fish
PGA;PGA;NA;Panga seabream;Pterogymnus laniarius;DEF;not defined;Demersal fish
CWC;CWC;NA;Karanteen seabream;Crenidens crenidens;DEF;not defined;Demersal fish
SLD;SLD;NA;Santer seabream;Cheimerius nufar;DEF;not defined;Demersal fish
NSP;NSP;NA;Whitecheek monocle bream;Scolopsis vosmeri;DEF;not defined;Demersal fish
LBR;LBR;NA;Largeeye breams;Gymnocranius spp;DEF;not defined;Demersal fish
ABK;ABK;NA;White bream;Blicca bjoerkna;DEF;not defined;Demersal fish
VIV;VIV;NA;Vimba bream;Vimba vimba;DEF;not defined;Demersal fish
BRU;BRU;NA;Southern rays bream;Brama australis;DEF;not defined;Demersal fish
STJ;STJ;NA;Steentjie seabream;Spondyliosoma emarginatum;DEF;not defined;Demersal fish
SDE;SDE;NA;Musselcracker seabream;Sparodon durbanensis;DEF;not defined;Demersal fish
ENG;ENG;NA;Englishman seabream;Chrysoblephus anglicus;DEF;not defined;Demersal fish
CPP;CPP;NA;Copper breams(=Hottentots) nei;Pachymetopon spp;DEF;not defined;Demersal fish
NNZ;NNZ;NA;Randall's threadfin bream;Nemipterus randalli;DEF;not defined;Demersal fish
SZH;SZH;NA;Sobaity seabream;Sparidentex hasta;DEF;not defined;Demersal fish
THB;THB;NA;Threadfin breams nei;Nemipterus spp;DEF;not defined;Demersal fish
YWF;YWF;NA;Yellowfin seabream;Acanthopagrus latus;DEF;not defined;Demersal fish
RXS;RXS;NA;Haffara seabream;Rhabdosargus haffara;DEF;not defined;Demersal fish
NSC;NSC;NA;Two-lined monocle bream;Scolopsis bilineata;DEF;not defined;Demersal fish
SWJ;SWJ;NA;Red Sea seabream;Diplodus noct;DEF;not defined;Demersal fish
HOB;HOB;NA;Hottentot seabream;Pachymetopon blochii;DEF;not defined;Demersal fish
ENJ;ENJ;NA;Crimson seabream;Evynnis japonica;DEF;not defined;Demersal fish
NSI;NSI;NA;Thumbprint monocle bream;Scolopsis bimaculata;DEF;not defined;Demersal fish
GMW;GMW;NA;Blue-lined large-eye bream;Gymnocranius grandoculis;DEF;not defined;Demersal fish
BLB;BLB;NA;Blue butterfish;Stromateus fiatola;DEF;not defined;Demersal fish
HTS;HTS;NA;Banded butterflyfish;Chaetodon striatus;DEF;not defined;Demersal fish
HAI;HAI;NA;Indian halibut;Psettodes erumei;DEF;not defined;Demersal fish
TMB;TMB;NA;Southwest Atlantic butterfish;Stromateus brasiliensis;DEF;not defined;Demersal fish
BUT;BUT;NA;Atlantic butterfish;Peprilus triacanthus;DEF;not defined;Demersal fish
BAX;BAX;NA;Bastard halibuts nei;Paralichthys spp;DEF;not defined;Demersal fish
BWB;BWB;NA;Starry butterfish;Stromateus stellatus;DEF;not defined;Demersal fish
RGL;RGL;NA;Spiny butterfly ray;Gymnura altavela;DEF;non-target demersal fish;Demersal fish
BTG;BTG;NA;Gulf butterfishes, etc. nei;Peprilus spp;DEF;not defined;Demersal fish
RGP;RGP;NA;Long-tailed butterfly ray;Gymnura poecilura;DEF;non-target demersal fish;Demersal fish
